Date,Brand,Product,Manufacturing Unit,Production Volume (Units),Production Cost (INR),Raw Material Cost (INR),Labor Cost (INR),Machine Efficiency (%),Production Time (Hours),Defect Rate (%),Inventory Stock (Units),Inventory Turnover Ratio,Demand Forecast (Units),Supply Chain Cost (INR),On-Time Delivery (%),Customer Satisfaction (%),Quality Rating,Energy Consumption (kWh)
2022-01-04,Coca-Cola,Ice Cream,Unit_20,861,8.58,6.99,3.01,71.35,8.39,4.46,7337,8.0,3466,4186.09,96.66,96.16,Low,370.64
2022-01-04,Amul,Dairy,Unit_18,3268,19.07,6.03,1.47,91.28,17.54,1.25,11454,8.24,4284,2496.08,83.17,71.59,Low,309.86
2022-01-04,Nestle,Snacks,Unit_16,1215,9.65,3.53,4.49,72.41,6.16,0.36,6948,8.05,4184,4870.7,95.52,71.5,High,416.78
2022-01-04,Britannia,Biscuits,Unit_11,2145,10.2,6.46,2.92,71.65,13.72,2.11,16468,5.17,1486,3730.26,98.79,68.15,High,211.89
2022-01-04,Nestle,Chocolates,Unit_10,1042,13.91,9.43,1.94,82.59,10.7,4.02,6729,9.04,3303,1658.86,82.77,81.81,Medium,486.5
2022-01-04,Britannia,Ice Cream,Unit_9,2047,13.82,6.53,1.67,87.61,5.8,0.84,6085,5.01,3337,632.53,93.66,60.86,High,197.47
2022-01-04,Coca-Cola,Ice Cream,Unit_12,2741,13.69,3.32,4.34,92.92,16.62,2.18,3198,6.4,648,1289.55,84.3,65.12,Medium,414.43
2022-01-04,Coca-Cola,Beverages,Unit_19,1151,13.6,9.98,3.87,72.13,13.2,0.93,6674,2.92,4040,3856.06,99.91,84.48,High,416.83
2022-01-04,Coca-Cola,Dairy,Unit_1,1550,9.68,5.99,3.87,80.04,15.73,4.09,18819,1.21,3081,4379.6,97.83,79.4,High,422.53
2022-01-04,Britannia,Beverages,Unit_18,2352,11.52,4.56,1.34,78.06,10.7,2.61,8430,6.44,660,893.71,87.43,89.79,Medium,336.9
2022-01-04,Nestle,Biscuits,Unit_14,3501,13.9,6.03,3.5,92.31,17.89,2.89,10406,6.88,577,3443.99,80.88,89.7,High,112.67
2022-01-04,Coca-Cola,Juices,Unit_1,3584,15.07,4.11,4.48,81.08,6.26,3.74,2263,9.36,3968,2160.54,80.9,77.38,Low,370.28
2022-01-04,Haldiram's,Biscuits,Unit_17,2596,8.8,2.24,4.06,88.84,8.5,4.7,14872,8.6,1262,3144.47,89.85,87.02,High,222.75
2022-01-04,PepsiCo,Juices,Unit_11,1302,15.52,9.12,1.47,84.68,16.92,0.53,12796,7.98,712,4319.58,99.15,94.4,Medium,497.64
2022-01-04,Britannia,Beverages,Unit_20,3154,18.85,5.43,4.8,87.09,19.32,4.23,6738,7.3,1392,2425.77,96.93,83.88,Medium,213.4
2022-01-04,Britannia,Chocolates,Unit_15,2180,16.37,8.02,1.28,80.97,17.7,2.37,6985,4.89,1791,1343.44,89.58,98.74,Low,228.71
2022-01-04,Nestle,Biscuits,Unit_4,2107,6.26,9.77,3.23,77.18,8.46,3.2,3663,5.4,4627,1010.75,84.33,99.75,Medium,209.57
2022-01-04,Britannia,Beverages,Unit_15,4022,12.04,7.06,4.78,71.79,10.23,4.26,17868,8.01,1770,4992.99,81.33,80.53,Low,362.48
2022-01-04,Britannia,Dairy,Unit_14,2557,11.53,7.53,4.29,75.2,16.48,1.63,1263,2.43,4570,3952.99,87.7,70.42,High,235.01
2022-01-04,Coca-Cola,Beverages,Unit_1,3221,10.05,9.55,3.72,75.18,19.19,4.35,15465,7.46,3824,744.37,96.33,91.52,Medium,387.98
2022-01-05,Nestle,Beverages,Unit_9,3063,12.37,6.13,4.43,98.05,9.34,3.16,12411,6.62,2645,1272.26,89.7,66.96,Medium,237.82
2022-01-05,Coca-Cola,Snacks,Unit_7,4112,11.59,4.56,3.69,98.12,10.8,1.4,11828,3.02,2635,3582.64,89.48,90.96,High,473.4
2022-01-05,PepsiCo,Biscuits,Unit_11,702,5.09,9.37,1.22,77.67,5.34,4.6,9578,5.01,1967,2402.68,89.52,77.75,Low,203.82
2022-01-05,PepsiCo,Chocolates,Unit_2,1441,8.55,2.55,2.4,73.17,12.57,0.29,2089,8.04,623,3292.93,84.23,91.15,High,216.66
2022-01-05,Coca-Cola,Chocolates,Unit_2,1088,8.21,3.72,2.71,78.45,6.32,2.95,19541,2.04,3017,3042.64,96.23,71.92,High,271.64
2022-01-05,PepsiCo,Snacks,Unit_6,1070,10.24,4.73,3.19,93.89,6.28,0.08,10154,6.62,2826,1206.69,95.06,78.18,High,483.09
2022-01-05,Nestle,Juices,Unit_19,3504,7.62,8.26,1.92,96.12,16.42,0.41,19843,4.79,2121,2477.37,85.98,93.44,Medium,149.82
2022-01-05,Amul,Ice Cream,Unit_20,695,6.02,9.23,4.52,85.03,10.16,0.5,7471,3.26,1599,2885.74,83.68,73.58,Medium,297.09
2022-01-05,Coca-Cola,Juices,Unit_14,1845,7.95,5.61,1.91,86.2,19.03,4.47,2674,9.02,2884,2472.79,95.78,76.28,High,291.52
2022-01-05,Haldiram's,Chocolates,Unit_3,917,17.81,4.29,3.63,83.76,15.74,2.79,11830,5.3,3496,2664.32,99.55,83.01,High,395.36
2022-01-05,Haldiram's,Beverages,Unit_7,2142,16.96,4.83,4.51,75.48,9.42,1.3,12118,9.89,3184,4952.12,82.78,85.68,Low,233.15
2022-01-05,Britannia,Snacks,Unit_7,1865,11.63,7.25,3.93,71.49,15.23,1.95,6065,6.72,4059,4933.21,83.19,67.55,High,231.49
2022-01-05,PepsiCo,Dairy,Unit_4,508,18.17,3.26,1.54,88.64,17.98,4.19,7054,3.98,3360,2086.37,91.81,84.47,Low,288.14
2022-01-05,Haldiram's,Biscuits,Unit_5,1031,8.49,6.38,4.81,93.96,11.54,2.85,10231,3.69,3499,3782.66,89.65,79.27,Low,302.3
2022-01-05,Britannia,Biscuits,Unit_17,4744,13.76,6.71,1.37,92.48,13.43,0.16,15353,7.24,3096,1551.44,83.04,91.63,High,187.88
2022-01-05,Amul,Biscuits,Unit_4,2052,7.14,7.66,1.8,97.01,8.26,4.36,11284,4.14,1985,4961.54,92.0,86.09,Low,338.44
2022-01-05,Nestle,Beverages,Unit_13,1535,17.5,6.83,1.56,94.41,11.03,2.69,16104,6.2,3689,2361.9,80.46,79.98,Low,134.34
2022-01-05,Nestle,Dairy,Unit_16,2117,6.96,2.78,3.67,78.63,13.69,0.98,2954,6.09,3533,3127.34,89.86,94.38,Medium,292.3
2022-01-05,Nestle,Snacks,Unit_16,4216,5.48,7.51,4.23,73.5,14.23,3.58,15836,1.14,2486,2215.51,82.32,84.01,Low,243.04
2022-01-05,Haldiram's,Snacks,Unit_2,1576,9.1,2.17,1.95,82.92,15.8,2.67,5971,7.24,1826,1204.74,87.6,78.75,High,431.99
2022-01-05,Amul,Biscuits,Unit_18,4801,18.51,5.12,4.92,80.45,19.36,0.95,6808,6.1,4361,1192.95,99.66,67.81,High,197.4
2022-01-05,Haldiram's,Dairy,Unit_1,4515,6.94,5.34,1.56,91.86,17.58,3.25,1146,8.29,4954,4727.23,87.36,68.24,Medium,405.3
2022-01-05,PepsiCo,Dairy,Unit_18,3462,9.96,2.93,2.26,72.04,17.77,3.21,3725,9.45,1278,2986.44,86.98,65.94,High,290.41
2022-01-05,Haldiram's,Dairy,Unit_8,1412,9.75,2.08,2.96,98.29,13.36,4.77,19200,5.4,1095,4872.17,88.68,92.88,High,459.87
2022-01-06,Amul,Chocolates,Unit_11,4649,17.02,2.57,4.24,98.72,7.16,1.32,6021,7.98,4098,2312.87,91.05,61.43,Low,280.62
2022-01-06,Amul,Chocolates,Unit_15,4570,11.32,5.57,2.51,72.65,14.53,2.74,6307,5.22,2667,2633.4,80.2,98.74,Low,396.52
2022-01-06,PepsiCo,Biscuits,Unit_16,4061,14.17,3.92,1.72,83.02,11.09,1.61,15062,3.63,3192,1482.19,96.33,83.63,High,119.0
2022-01-06,Amul,Dairy,Unit_17,843,11.07,2.55,2.86,96.97,5.48,1.49,15673,9.11,4420,971.49,85.94,64.52,Medium,391.13
2022-01-06,Amul,Ice Cream,Unit_17,1692,13.27,4.05,2.91,75.62,7.92,2.53,6386,6.55,1145,4022.78,96.94,92.47,Low,396.31
2022-01-06,Nestle,Dairy,Unit_12,2432,5.94,6.23,1.06,90.77,16.39,3.57,12932,1.55,630,2281.97,82.81,95.03,High,173.02
2022-01-06,PepsiCo,Snacks,Unit_10,1202,10.61,7.94,1.08,91.34,14.47,3.02,7839,9.41,2066,4039.72,88.62,74.72,Low,231.36
2022-01-06,Parle,Snacks,Unit_20,2398,17.83,5.3,2.11,77.01,19.68,0.59,15765,4.75,3732,2514.42,99.76,74.53,Low,298.41
2022-01-06,Parle,Biscuits,Unit_6,4093,15.37,6.91,3.96,70.18,18.85,4.61,3328,7.02,3951,4661.76,83.86,93.86,High,448.65
2022-01-06,Amul,Ice Cream,Unit_8,698,19.73,6.77,2.46,89.93,13.91,3.54,6615,9.63,3870,4478.16,90.24,79.41,High,210.58
2022-01-06,Parle,Dairy,Unit_13,3732,16.82,9.17,1.84,88.52,7.32,2.9,16660,5.81,2964,4195.34,86.43,80.49,Medium,325.2
2022-01-06,Parle,Juices,Unit_2,3322,11.77,3.44,1.45,89.49,10.05,0.72,19710,6.38,4352,4069.59,92.95,95.64,Medium,228.35
2022-01-06,Amul,Ice Cream,Unit_19,4984,15.14,5.81,2.12,74.69,8.5,0.67,5433,2.7,1766,3460.65,81.44,65.17,High,210.13
2022-01-06,Parle,Biscuits,Unit_10,973,16.64,7.05,2.93,88.11,12.06,1.47,4830,8.0,3342,4418.73,96.11,95.4,Low,388.66
2022-01-06,Haldiram's,Snacks,Unit_4,2154,9.05,6.16,1.37,86.25,17.01,4.62,16434,5.69,4018,4331.73,92.75,97.07,Low,284.87
2022-01-06,Britannia,Juices,Unit_12,1091,5.9,5.6,1.06,83.58,17.33,0.73,10401,5.38,1366,1458.04,97.37,60.54,Low,287.72
2022-01-06,PepsiCo,Snacks,Unit_18,2348,11.09,9.79,1.51,93.31,7.67,3.27,6891,2.6,2827,3635.99,95.21,87.29,Low,316.81
2022-01-06,Britannia,Chocolates,Unit_7,3541,7.17,9.54,3.95,81.65,13.24,3.22,9297,4.97,4394,4255.0,82.74,71.3,Low,400.05
2022-01-06,Amul,Biscuits,Unit_20,667,9.16,6.89,2.87,80.6,15.15,0.46,14851,9.54,1533,3853.92,97.37,82.58,High,306.51
2022-01-06,Nestle,Biscuits,Unit_4,4879,19.2,5.52,2.78,86.23,10.95,3.54,16746,4.49,1696,576.68,87.83,85.96,Medium,182.65
2022-01-06,PepsiCo,Dairy,Unit_7,3770,17.71,8.04,1.08,98.33,18.58,2.38,4630,3.0,2822,3278.78,89.81,83.34,Medium,391.22
2022-01-06,Amul,Dairy,Unit_10,4507,13.89,6.1,3.84,80.33,10.39,2.5,2299,6.39,3941,1782.17,81.21,87.16,Medium,479.66
2022-01-06,Nestle,Chocolates,Unit_15,4510,11.02,9.96,1.81,83.36,12.35,0.03,2115,5.57,2755,3982.13,84.54,82.32,High,347.72
2022-01-06,Britannia,Juices,Unit_12,4348,8.96,7.49,1.36,77.99,13.8,4.48,4940,5.32,4669,3832.31,85.82,89.67,Low,479.63
2022-01-07,Amul,Beverages,Unit_1,2681,13.57,2.55,4.37,90.39,11.41,3.05,10647,2.47,569,989.58,96.1,81.48,Medium,299.27
2022-01-07,PepsiCo,Ice Cream,Unit_20,2154,13.0,5.22,2.94,80.92,19.45,3.02,17969,9.18,4258,2002.23,89.5,68.12,Low,229.71
2022-01-07,PepsiCo,Beverages,Unit_18,4717,16.71,7.84,4.0,90.78,16.41,1.95,9190,6.47,2432,4552.51,87.28,67.96,Low,118.92
2022-01-07,Coca-Cola,Beverages,Unit_16,1332,18.92,8.74,4.29,74.37,17.44,3.51,5975,6.59,1019,2674.48,98.97,86.02,High,439.9
2022-01-07,Haldiram's,Biscuits,Unit_5,1521,9.93,8.51,4.86,77.91,16.29,4.17,19707,2.07,4428,2780.88,84.74,80.34,Medium,176.77
2022-01-07,Parle,Ice Cream,Unit_19,2493,8.09,9.82,3.49,76.19,13.82,2.48,17099,5.1,3064,1417.34,89.64,74.34,Low,247.44
2022-01-07,Nestle,Biscuits,Unit_4,3992,11.04,5.91,1.27,93.32,5.42,2.73,18164,6.25,4630,1300.3,85.17,82.69,Low,396.73
2022-01-07,Coca-Cola,Ice Cream,Unit_6,1394,11.56,3.12,3.23,72.69,16.47,1.04,4409,9.31,3074,801.25,84.68,99.48,Low,326.95
2022-01-07,Parle,Snacks,Unit_17,2015,5.6,7.22,3.04,77.56,14.19,1.77,5592,6.22,2409,858.95,97.72,85.22,Medium,325.08
2022-01-07,Parle,Biscuits,Unit_7,4170,17.93,2.57,1.23,85.22,6.21,2.34,15621,9.63,3646,1288.7,91.26,87.75,Medium,175.9
2022-01-07,Amul,Biscuits,Unit_7,788,19.93,9.79,2.23,72.63,6.78,3.31,2679,7.23,660,563.06,80.0,86.76,High,463.06
2022-01-07,Parle,Biscuits,Unit_9,1576,18.85,8.07,2.65,70.33,12.22,4.66,9123,2.41,1947,4975.29,82.95,87.81,Medium,128.67
2022-01-07,Haldiram's,Juices,Unit_13,1871,17.91,9.86,1.64,90.73,17.79,0.69,16242,1.59,3383,2456.82,97.61,67.81,High,202.83
2022-01-07,PepsiCo,Chocolates,Unit_20,1574,19.89,5.02,1.04,88.41,13.31,2.65,11342,5.94,3503,2337.17,81.24,65.24,Low,151.1
2022-01-07,Coca-Cola,Biscuits,Unit_14,3459,18.62,2.13,4.03,70.25,18.79,3.05,12713,9.5,1384,3139.87,97.87,91.2,High,101.37
2022-01-07,Parle,Dairy,Unit_16,539,15.33,6.17,4.41,71.46,17.23,4.13,15834,3.87,4819,4348.59,84.11,69.62,Low,168.85
2022-01-07,Amul,Dairy,Unit_9,4774,7.5,2.97,1.92,76.58,14.46,4.22,15670,8.96,628,3484.98,99.63,60.36,Medium,238.27
2022-01-07,Haldiram's,Ice Cream,Unit_15,4122,7.35,7.44,1.02,97.19,9.7,3.3,11528,2.31,4358,1462.63,92.47,71.95,High,152.15
2022-01-07,Britannia,Snacks,Unit_5,682,5.73,5.98,4.56,89.58,17.79,0.97,14205,7.67,3730,3852.46,99.62,78.57,Medium,232.41
2022-01-07,PepsiCo,Chocolates,Unit_18,2259,11.18,8.03,1.54,94.15,14.89,3.9,18437,4.75,1315,1130.01,90.32,70.75,Medium,415.61
2022-01-07,PepsiCo,Juices,Unit_20,2269,17.13,4.33,2.61,92.78,13.29,2.89,5179,1.12,3627,4354.18,95.67,63.74,High,178.79
2022-01-07,Coca-Cola,Ice Cream,Unit_8,996,12.35,8.63,2.46,99.49,12.51,4.81,5951,3.6,2212,3798.36,85.48,70.04,High,112.5
2022-01-07,PepsiCo,Dairy,Unit_15,1096,10.49,7.21,1.66,98.5,8.19,4.77,4634,4.61,2506,4716.29,83.12,63.22,Medium,447.06
2022-01-07,Parle,Chocolates,Unit_9,3008,6.64,9.9,3.4,72.02,5.24,2.76,7512,4.94,4226,4438.0,82.1,81.44,Medium,212.03
